"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Aldo-keto reductase family 1 member C2","AKR1C2","P52895","CHEMBL5847","Enzyme","0.0","0 /  1     "
"Tyrosine-protein kinase SRC","SRC","P12931","CHEMBL267","Kinase","0.0","1 /  0     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.0","0 /  13     "
"Hypoxanthine-guanine phosphoribosyltransferase","HPRT1","P00492","CHEMBL2360","Enzyme","0.0","1 /  0     "
"Caspase-3","CASP3","P42574","CHEMBL2334","Protease","0.0","9 /  0     "
"Caspase-6","CASP6","P55212","CHEMBL3308","Protease","0.0","3 /  0     "
"Caspase-7","CASP7","P55210","CHEMBL3468","Protease","0.0","3 /  0     "
"Caspase-8","CASP8","Q14790","CHEMBL3776","Protease","0.0","3 /  0     "
"Caspase-1","CASP1","P29466","CHEMBL4801","Protease","0.0","3 /  0     "
"Caspase-2","CASP2","P42575","CHEMBL4884","Protease","0.0","2 /  0     "
"Inhibitor of nuclear factor kappa B kinase beta subunit","IKBKB","O14920","CHEMBL1991","Kinase","0.0","0 /  3     "
"Glutamate carboxypeptidase II","FOLH1","Q04609","CHEMBL1892","Protease","0.0","20 /  0     "
"Tyrosyl-tRNA synthetase","YARS","P54577","CHEMBL3179","Enzyme","0.0","12 /  0     "
"Hepatocyte growth factor receptor","MET","P08581","CHEMBL3717","Kinase","0.0","0 /  18     "
"Tyrosinase","TYR","P14679","CHEMBL1973","Oxidoreductase","0.0","7 /  0     "
"PI3-kinase p110-gamma subunit","PIK3CG","P48736","CHEMBL3267","Enzyme","0.0","1 /  0     "
"Low molecular weight phosphotyrosine protein phosphatase","ACP1","P24666","CHEMBL4903","Phosphatase","0.0","0 /  1     "
"DNA polymerase beta","POLB","P06746","CHEMBL2392","Enzyme","0.0","3 /  4     "
"Carbonic anhydrase VII","CA7","P43166","CHEMBL2326","Lyase","0.0","4 /  23     "
"Carbonic anhydrase XIV","CA14","Q9ULX7","CHEMBL3510","Lyase","0.0","14 /  22     "
"Carbonic anhydrase IV","CA4","P22748","CHEMBL3729","Lyase","0.0","6 /  15     "
"Carbonic anhydrase XIII","CA13","Q8N1Q1","CHEMBL3912","Lyase","0.0","2 /  16     "
"Carbonic anhydrase VA","CA5A","P35218","CHEMBL4789","Lyase","0.0","3 /  19     "
"Alpha-L-fucosidase I","FUCA1","P04066","CHEMBL4176","Enzyme","0.0","1 /  0     "
"Sialidase 3","NEU3","Q9UQ49","CHEMBL3046","Enzyme","0.0","4 /  0     "
"Sialidase 2","NEU2","Q9Y3R4","CHEMBL3200","Enzyme","0.0","4 /  0     "
"Dual-specificity tyrosine-phosphorylation regulated kinase 1A","DYRK1A","Q13627","CHEMBL2292","Kinase","0.0","0 /  8     "
"Dual specificty protein kinase CLK1","CLK1","P49759","CHEMBL4224","Kinase","0.0","0 /  3     "
"Dual specificity tyrosine-phosphorylation-regulated kinase 1B","DYRK1B","Q9Y463","CHEMBL5543","Kinase","0.0","0 /  7     "
"Neuropilin-1","NRP1","O14786","CHEMBL5174","Secreted protein","0.0","1 /  0     "
"Insulin-like growth factor I receptor","IGF1R","P08069","CHEMBL1957","Kinase","0.0","1 /  0     "
"Insulin receptor","INSR","P06213","CHEMBL1981","Kinase","0.0","1 /  0     "
"Pancreatic alpha-amylase","AMY2A","P04746","CHEMBL2045","Hydrolase","0.0","1 /  0     "
"Folylpoly-gamma-glutamate synthetase","FPGS","Q05932","CHEMBL3171","Enzyme","0.0","1 /  0     "
"Butyrylcholinesterase","BCHE","P06276","CHEMBL1914","Hydrolase","0.0","0 /  3     "
"Thrombin","F2","P00734","CHEMBL204","Protease","0.0","1 /  0     "
"Angiotensin-converting enzyme   (by homology)","ACE","P12821","CHEMBL1808","Protease","0.0","11 /  0     "
"Glutamate receptor ionotropic kainate 2","GRIK2","Q13002","CHEMBL3683","Ligand-gated ion channel","0.0","1 /  0     "
"Glutamate receptor ionotropic kainate 3","GRIK3","Q13003","CHEMBL3684","Ligand-gated ion channel","0.0","1 /  0     "
"Matrix metalloproteinase 16","MMP16","P51512","CHEMBL2200","Protease","0.0","1 /  0     "
"Matrix metalloproteinase 14","MMP14","P50281","CHEMBL3869","Protease","0.0","1 /  0     "
"Matrix metalloproteinase 8","MMP8","P22894","CHEMBL4588","Protease","0.0","2 /  0     "
"Aminopeptidase A","ENPEP","Q07075","CHEMBL3439","Protease","0.0","12 /  0     "
"Muscle glycogen phosphorylase","PYGM","P11217","CHEMBL3526","Enzyme","0.0","7 /  0     "
"Hydroxycarboxylic acid receptor 2","HCAR2","Q8TDS4","CHEMBL3785","Family A G protein-coupled receptor","0.0","2 /  0     "
"Aldehyde dehydrogenase","ALDH2","P05091","CHEMBL1935","Oxidoreductase","0.0","1 /  0     "
"Sodium/glucose cotransporter 2","SLC5A2","P31639","CHEMBL3884","Electrochemical transporter","0.0","4 /  0     "
"Endothelin-converting enzyme 1","ECE1","P42892","CHEMBL4791","Protease","0.0","3 /  0     "
"ATP-citrate synthase","ACLY","P53396","CHEMBL3720","Enzyme","0.0","3 /  0     "
"Vascular endothelial growth factor receptor 2","KDR","P35968","CHEMBL279","Kinase","0.0","2 /  0     "
"HMG-CoA reductase   (by homology)","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.0","0 /  34     "
"DNA polymerase alpha subunit","POLA1","P09884","CHEMBL1828","Transferase","0.0","2 /  0     "
"Thymidylate synthase","TYMS","P04818","CHEMBL1952","Transferase","0.0","5 /  0     "
"Monoamine oxidase B","MAOB","P27338","CHEMBL2039","Oxidoreductase","0.0","0 /  1     "
"Enteropeptidase","TMPRSS15","P98073","CHEMBL1741195","Protease","0.0","2 /  0     "
"Neprilysin","MME","P08473","CHEMBL1944","Protease","0.0","10 /  0     "
"Trypsin I","PRSS1","P07477","CHEMBL209","Protease","0.0","2 /  0     "
"Matrix metalloproteinase 1","MMP1","P03956","CHEMBL332","Protease","0.0","3 /  7     "
"Aldo-keto-reductase family 1 member C3","AKR1C3","P42330","CHEMBL4681","Enzyme","0.0","2 /  13     "
"Carbonic anhydrase VI","CA6","P23280","CHEMBL3025","Lyase","0.0","1 /  16     "
"Histone deacetylase 3","HDAC3","O15379","CHEMBL1829","Eraser","0.0","1 /  0     "
"Histone deacetylase 6","HDAC6","Q9UBN7","CHEMBL1865","Eraser","0.0","1 /  0     "
"Histone deacetylase 2","HDAC2","Q92769","CHEMBL1937","Eraser","0.0","1 /  0     "
"Histone deacetylase 1","HDAC1","Q13547","CHEMBL325","Eraser","0.0","1 /  0     "
"Matrix metalloproteinase 9","MMP9","P14780","CHEMBL321","Protease","0.0","1 /  4     "
"NAALADase II","NAALAD2","Q9Y3Q0","CHEMBL2609","Protease","0.0","6 /  0     "
