,numCTs,unitProt,numVariantsGDA,HPOClass,type,evidenceIndexGDA,numDiseasesAssociatedToGene,geneNcbiID,numPMIDs,evidenceLevelGDA,geneEnsemblIDs,geneNcbiType,geneDSI,geneFullName,genePLI,diseaseUMLSCUI,disease,gene,numVariantsAssociatedToGene,numberPmidsWithChemsIncludedInEvidence,lastRef,numberChemsIncludedInEvidence,pathwayNames,geneDPI,pathwayIDs,numVariantsDisease,proteinClass,DOClass,diseaseClass,semanticType,numGenesDisease,firstRef,scoreGDA
,107,"B2R773,A8K660,Q15848",0,Growth abnormality (01507),disease,0.90818128310771,43,9370,2,,ENSG00000181092,protein-coding,0.33,"adiponectin, C1Q and collagen domain containing",0.0000000035736,C0028754,Obesity,ADIPOQ,3,0,2003,0,"Developmental Biology,Metabolism",0.96,"R-HSA-1266738,R-HSA-1430728",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,1999,1
,185,P02741,0,Growth abnormality (01507),disease,0.897694524495677,63,1401,1,,ENSG00000132693,protein-coding,0.25,C-reactive protein,0.0005414,C0028754,Obesity,CRP,1,0,2013,0,Immune System,1,R-HSA-168256,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2013,1
,6,P43490,0,Growth abnormality (01507),disease,0.876146788990826,8,10135,1,,ENSG00000105835,protein-coding,0.41,nicotinamide phosphoribosyltransferase,0.99993,C0028754,Obesity,NAMPT,0,0,2013,0,"Metabolism,Circadian Clock,Gene expression (Transcription)",0.91,"R-HSA-1430728,R-HSA-400253,R-HSA-74160",345,Signaling,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2013,1
,5,P29120,0,Growth abnormality (01507),disease,0.837209302325581,5,5122,1,,ENSG00000175426,protein-coding,0.49,proprotein convertase subtilisin/kexin type 1,0.0000030514,C0028754,Obesity,PCSK1,99,0,2008,0,Metabolism of proteins,0.83,R-HSA-392499,345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2008,1
,21,P13500,0,Growth abnormality (01507),disease,0.883720930232558,104,6347,1,,ENSG00000108691,protein-coding,0.31,C-C motif chemokine ligand 2,0.098507,C0028754,Obesity,CCL2,2,0,2018,0,"Signal Transduction,Immune System,Cellular responses to stimuli",0.96,"R-HSA-162582,R-HSA-168256,R-HSA-8953897",345,Signaling,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2018,1
,2,"P55916,A0A0S2Z4G5",7,Growth abnormality (01507),disease,0.769230769230769,11,7352,1,,ENSG00000175564,protein-coding,0.58,uncoupling protein 3,0.000000078551,C0028754,Obesity,UCP3,10,0,1998,0,Metabolism,0.87,R-HSA-1430728,345,Transporter,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,1998,1
,3,"Q96EB6,E9PC49,B0QZ35,A8K128",0,Growth abnormality (01507),disease,0.980952380952381,57,23411,1,,ENSG00000096717,protein-coding,0.37,sirtuin 1,0.89742,C0028754,Obesity,SIRT1,1,0,2014,0,"Developmental Biology,Circadian Clock,Gene expression (Transcription),Cellular responses to stimuli",0.96,"R-HSA-1266738,R-HSA-400253,R-HSA-74160,R-HSA-8953897",345,Epigenetic regulator,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2014,1
,4,P81133,1,Growth abnormality (01507),disease,0.764705882352941,9,6492,0,,ENSG00000112246,protein-coding,0.55,SIM bHLH transcription factor 1,1,C0028754,Obesity,SIM1,63,0,,0,,0.7,,345,Transcription factor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,1
,2,"C6SUN5,O00253",1,Growth abnormality (01507),disease,0.761904761904762,4,181,0,,ENSG00000159723,protein-coding,0.48,agouti related neuropeptide,0.018129,C0028754,Obesity,AGRP,2,0,,0,Gene expression (Transcription),0.96,R-HSA-74160,345,Signaling,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,1
,27,P09681,0,Growth abnormality (01507),disease,0.935323383084577,3,2695,0,,ENSG00000159224,protein-coding,0.48,gastric inhibitory polypeptide,0.0001024,C0028754,Obesity,GIP,11,0,,0,"Signal Transduction,Metabolism of proteins",0.87,"R-HSA-162582,R-HSA-392499",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,1
,13,Q9HD89,0,Growth abnormality (01507),disease,0.840182648401826,12,56729,0,,ENSG00000104918,protein-coding,0.4,resistin,0.0043156,C0028754,Obesity,RETN,1,0,,0,"Immune System,Gene expression (Transcription)",0.96,"R-HSA-168256,R-HSA-74160",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,1
,13,"P23560,A0A0E3SU01",4,Growth abnormality (01507),disease,0.914893617021277,54,627,0,,ENSG00000176697,protein-coding,0.32,brain derived neurotrophic factor,0.99974,C0028754,Obesity,BDNF,32,0,,0,"Signal Transduction,Disease,Gene expression (Transcription)",0.96,"R-HSA-162582,R-HSA-1643685,R-HSA-74160",345,Signaling,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,1
,11,"Q9NSA1,A0A7U3L5M7",0,Growth abnormality (01507),disease,0.907692307692308,13,26291,2,,ENSG00000105550,protein-coding,0.43,fibroblast growth factor 21,0.000015619,C0028754,Obesity,FGF21,1,0,2016,0,Transport of small molecules,0.96,R-HSA-382551,345,Signaling,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2014,0.95
,0,"P28845,X5D2L1",0,Growth abnormality (01507),disease,0.938775510204082,16,3290,2,,ENSG00000117594,protein-coding,0.49,hydroxysteroid 11-beta dehydrogenase 1,0.0022053,C0028754,Obesity,HSD11B1,5,0,2011,0,"Metabolism,Drug ADME",0.96,"R-HSA-1430728,R-HSA-9748784",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2007,0.95
,2,"F1D8S4,Q07869",0,Growth abnormality (01507),disease,0.935483870967742,41,5465,2,,ENSG00000186951,protein-coding,0.39,peroxisome proliferator activated receptor alpha,0.0034658,C0028754,Obesity,PPARA,5,0,2019,0,"Developmental Biology,Metabolism,Organelle biogenesis and maintenance,Metabolism of proteins,Circadian Clock,Gene expression (Transcription),Cellular responses to stimuli",0.91,"R-HSA-1266738,R-HSA-1430728,R-HSA-1852241,R-HSA-392499,R-HSA-400253,R-HSA-74160,R-HSA-8953897",345,Nuclear receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2000,0.95
,1,"B4DSN5,A8K3M3,P18031",0,Growth abnormality (01507),disease,0.961111111111111,17,5770,2,,ENSG00000196396,protein-coding,0.47,protein tyrosine phosphatase non-receptor type 1,1,C0028754,Obesity,PTPN1,4,1,2010,1,"Hemostasis,Signal Transduction,Immune System,Gene expression (Transcription)",0.91,"R-HSA-109582,R-HSA-162582,R-HSA-168256,R-HSA-74160",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2000,0.95
,6,"Q4KMT7,P25874",0,Growth abnormality (01507),disease,0.837349397590361,6,7350,1,,ENSG00000109424,protein-coding,0.53,uncoupling protein 1,9.1495E-10,C0028754,Obesity,UCP1,0,0,2004,0,"Developmental Biology,Metabolism",0.83,"R-HSA-1266738,R-HSA-1430728",345,Transporter,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2004,0.95
,1,O60240,0,Growth abnormality (01507),disease,0.905660377358491,7,5346,1,,ENSG00000166819,protein-coding,0.54,perilipin 1,3.3689E-12,C0028754,Obesity,PLIN1,14,0,2004,0,"Developmental Biology,Metabolism,Signal Transduction",0.74,"R-HSA-1266738,R-HSA-1430728,R-HSA-162582",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2004,0.95
,0,P55851,0,Growth abnormality (01507),disease,0.826666666666667,20,7351,1,,ENSG00000175567,protein-coding,0.47,uncoupling protein 2,0.000000011875,C0028754,Obesity,UCP2,3,0,2001,0,Metabolism,0.91,R-HSA-1430728,345,Transporter,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2001,0.95
,0,"P21554,S5TLS4,V5KA96",0,Growth abnormality (01507),disease,0.901960784313726,47,1268,1,,ENSG00000118432,protein-coding,0.43,cannabinoid receptor 1,0.31479,C0028754,Obesity,CNR1,0,1,2008,1,Signal Transduction,0.96,R-HSA-162582,345,G-protein coupled receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2008,0.95
,92,P01275,0,Growth abnormality (01507),disease,0.91437802907916,32,2641,1,,ENSG00000115263,protein-coding,0.35,glucagon,0.13736,C0028754,Obesity,GCG,1,0,2010,0,"Metabolism,Signal Transduction,Metabolism of proteins",0.96,"R-HSA-1430728,R-HSA-162582,R-HSA-392499",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2010,0.95
,11,"B1A4G6,P01241,B1A4G7",0,Growth abnormality (01507),disease,0.857723577235772,47,2688,1,,ENSG00000259384,protein-coding,0.31,growth hormone 1,0.012644,C0028754,Obesity,GH1,63,1,1996,1,"Immune System,Metabolism of proteins",0.96,"R-HSA-168256,R-HSA-392499",345,Signaling,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,1996,0.95
,16,P05121,0,Growth abnormality (01507),disease,0.897777777777778,65,5054,1,,ENSG00000106366,protein-coding,0.34,serpin family E member 1,0.03418,C0028754,Obesity,SERPINE1,56,1,2013,1,"Hemostasis,Extracellular matrix organization,Signal Transduction,Circadian Clock,Gene expression (Transcription)",0.96,"R-HSA-109582,R-HSA-1474244,R-HSA-162582,R-HSA-400253,R-HSA-74160",345,Enzyme modulator,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2013,0.95
,2,"P18065,C9JMY1",0,Growth abnormality (01507),disease,0.96875,7,3485,1,,ENSG00000115457,protein-coding,0.43,insulin like growth factor binding protein 2,0.0037854,C0028754,Obesity,IGFBP2,0,0,2012,0,Metabolism of proteins,0.83,R-HSA-392499,345,Enzyme modulator,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2012,0.95
,4,"A0A8I5KR47,Q5VWE5,Q548C2,Q16620",1,Growth abnormality (01507),disease,1,42,4915,1,,ENSG00000148053,protein-coding,0.45,neurotrophic receptor tyrosine kinase 2,1,C0028754,Obesity,NTRK2,27,0,2004,0,"Signal Transduction,Disease",0.96,"R-HSA-162582,R-HSA-1643685",345,Kinase,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2004,0.95
,1,"Q8N5P9,O60543,B3KVA2",0,Growth abnormality (01507),disease,1,4,1149,1,,ENSG00000176194,protein-coding,0.66,cell death inducing DFFA like effector a,0.0082513,C0028754,Obesity,CIDEA,0,0,2010,0,"Developmental Biology,Metabolism",0.57,"R-HSA-1266738,R-HSA-1430728",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2010,0.95
,0,"P02649,A0A0S2Z3D5",0,Growth abnormality (01507),disease,0.870229007633588,100,348,1,,ENSG00000130203,protein-coding,0.33,apolipoprotein E,0.00025529,C0028754,Obesity,APOE,33,0,2010,0,"Metabolism,Signal Transduction,Transport of small molecules,Metabolism of proteins,Vesicle-mediated transport,Gene expression (Transcription),Sensory Perception",0.96,"R-HSA-1430728,R-HSA-162582,R-HSA-382551,R-HSA-392499,R-HSA-5653656,R-HSA-74160,R-HSA-9709957",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2010,0.95
,1,"A0A140VJG8,P21964",0,Growth abnormality (01507),disease,0.833333333333333,80,1312,0,,ENSG00000093010,protein-coding,0.38,catechol-O-methyltransferase,0.00049511,C0028754,Obesity,COMT,21,0,,0,"Neuronal System,Metabolism,Disease",0.96,"R-HSA-112316,R-HSA-1430728,R-HSA-1643685",345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,,0.95
,0,P22413,20,Growth abnormality (01507),disease,0.8,16,5167,14,,ENSG00000197594,protein-coding,0.43,ectonucleotide pyrophosphatase/phosphodiesterase 1,0.000016968,C0028754,Obesity,ENPP1,187,0,2006,0,Metabolism,0.91,R-HSA-1430728,345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,1998,0.95
,0,Q16568,1,Growth abnormality (01507),disease,0.88,11,9607,2,,ENSG00000164326,protein-coding,0.53,CART prepropeptide,0.12691,C0028754,Obesity,CARTPT,1,0,2004,0,,0.78,,345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2001,0.95
,0,"Q5FWY2,Q14455,B0AZR9,Q5JWF2,A0A0S2Z3H8,O95467,Q5JWD1,P63092,P84996,A0A590UJF0,A0A7I2V5R6,A0A0S2Z3S5",1,Growth abnormality (01507),disease,0.870967741935484,65,2778,1,,ENSG00000087460,protein-coding,0.38,GNAS complex locus,0.99999,C0028754,Obesity,GNAS,130,0,2006,0,"Hemostasis,Metabolism,Signal Transduction,Disease,Transport of small molecules",0.96,"R-HSA-109582,R-HSA-1430728,R-HSA-162582,R-HSA-1643685,R-HSA-382551",345,Enzyme modulator,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2006,0.95
,0,Q15466,4,Growth abnormality (01507),disease,0.875,12,8431,1,,ENSG00000131910,protein-coding,0.47,nuclear receptor subfamily 0 group B member 2,0.000004235,C0028754,Obesity,NR0B2,7,0,2008,0,Gene expression (Transcription),0.87,R-HSA-74160,345,Nuclear receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2008,0.95
,6,P00734,0,Growth abnormality (01507),disease,0.961538461538462,65,2147,1,,ENSG00000180210,protein-coding,0.33,"coagulation factor II, thrombin",,C0028754,Obesity,F2,71,0,2012,0,"Hemostasis,Signal Transduction,Disease,Immune System,Metabolism of proteins",0.96,"R-HSA-109582,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2012,0.9
,1,"A0A0A0MSC1,B7ZLX9,O60266",2,Growth abnormality (01507),disease,0.956521739130435,7,109,1,,ENSG00000138031,protein-coding,0.61,adenylate cyclase 3,3.6985E-11,C0028754,Obesity,ADCY3,37,0,2018,0,"Neuronal System,Metabolism,Signal Transduction,Disease,Transport of small molecules,Sensory Perception",0.7,"R-HSA-112316,R-HSA-1430728,R-HSA-162582,R-HSA-1643685,R-HSA-382551,R-HSA-9709957",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2018,0.9
,0,"A0A125SXW3,H0Y4W6,P03372,Q9UBT1,A8KAF4,G4XH65",0,Growth abnormality (01507),disease,0.877862595419847,74,2099,1,,ENSG00000091831,protein-coding,0.3,estrogen receptor 1,0.99791,C0028754,Obesity,ESR1,247,0,2010,0,"Signal Transduction,Disease,Metabolism of proteins,Gene expression (Transcription)",0.96,"R-HSA-162582,R-HSA-1643685,R-HSA-392499,R-HSA-74160",345,Nuclear receptor,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2010,0.9
,0,"P31749,B0LPE5,B3KVH4",0,Growth abnormality (01507),disease,0.887096774193548,85,207,1,,ENSG00000142208,protein-coding,0.28,AKT serine/threonine kinase 1,0.99533,C0028754,Obesity,AKT1,159,0,2013,0,"Hemostasis,Developmental Biology,Metabolism,Signal Transduction,Cell Cycle,Disease,Immune System,Programmed Cell Death,Vesicle-mediated transport,Gene expression (Transcription),Metabolism of RNA,Cellular responses to stimuli",0.96,"R-HSA-109582,R-HSA-1266738,R-HSA-1430728,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-168256,R-HSA-5357801,R-HSA-5653656,R-HSA-74160,R-HSA-8953854,R-HSA-8953897",345,Kinase,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2013,0.9
,1,P35354,0,Growth abnormality (01507),disease,0.952380952380952,143,5743,1,,ENSG00000073756,protein-coding,0.32,prostaglandin-endoperoxide synthase 2,1,C0028754,Obesity,PTGS2,1,0,2011,0,"Metabolism,Immune System",0.96,"R-HSA-1430728,R-HSA-168256",345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2011,0.9
,6,"P05362,A0A384MEK5",0,Growth abnormality (01507),disease,0.851851851851852,61,3383,1,,ENSG00000090339,protein-coding,0.33,intercellular adhesion molecule 1,0.000001834,C0028754,Obesity,ICAM1,7,0,2002,0,"Extracellular matrix organization,Immune System",0.96,"R-HSA-1474244,R-HSA-168256",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2002,0.9
,6,"A0PJA6,Q06AH7,P02787",0,Growth abnormality (01507),disease,0.88,38,7018,1,,ENSG00000091513,protein-coding,0.37,transferrin,,C0028754,Obesity,TF,68,0,2011,0,"Hemostasis,Transport of small molecules,Metabolism of proteins,Vesicle-mediated transport",0.96,"R-HSA-109582,R-HSA-382551,R-HSA-392499,R-HSA-5653656",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2011,0.9
,0,"A0A1B1RVA9,P06858",0,Growth abnormality (01507),disease,0.878048780487805,39,4023,1,,ENSG00000175445,protein-coding,0.43,lipoprotein lipase,3.0524E-12,C0028754,Obesity,LPL,211,0,2008,0,"Developmental Biology,Metabolism,Transport of small molecules,Sensory Perception",0.87,"R-HSA-1266738,R-HSA-1430728,R-HSA-382551,R-HSA-9709957",345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2008,0.9
,0,P35568,0,Growth abnormality (01507),disease,0.833333333333333,20,3667,1,,ENSG00000169047,protein-coding,0.45,insulin receptor substrate 1,0.00013176,C0028754,Obesity,IRS1,9,0,2013,0,"Signal Transduction,Disease,Immune System",0.91,"R-HSA-162582,R-HSA-1643685,R-HSA-168256",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2013,0.9
,3,P14780,0,Growth abnormality (01507),disease,0.810810810810811,107,4318,1,,ENSG00000100985,protein-coding,0.29,matrix metallopeptidase 9,3.7082E-25,C0028754,Obesity,MMP9,38,0,2011,0,"Developmental Biology,Extracellular matrix organization,Signal Transduction,Immune System",0.96,"R-HSA-1266738,R-HSA-1474244,R-HSA-162582,R-HSA-168256",345,Enzyme,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2011,0.9
,4,"Q9NRF2,B3KNV5,B4DLN5",1,Growth abnormality (01507),disease,0.838709677419355,6,25970,1,,ENSG00000178188,protein-coding,0.49,SH2B adaptor protein 1,0.99999,C0028754,Obesity,SH2B1,45,0,2009,0,"Hemostasis,Signal Transduction,Immune System",0.91,"R-HSA-109582,R-HSA-162582,R-HSA-168256",345,,disease of metabolism (0014667),"Nutritional and Metabolic Diseases,Pathological Conditions, Signs and Symptoms",Disease or Syndrome (T047),300,2009,0.9
