Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"PHIP","Pleckstrin Homology Domain Interacting Protein","Protein Coding","Q8WWQ0","51","GC06M078934","27.1686115264893","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHIP"
"UCP1","Uncoupling Protein 1","Protein Coding","P25874","55","GC04M140559","26.7265625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCP1"
"ADCY3","Adenylate Cyclase 3","Protein Coding","O60266","59","GC02M024819","25.9194946289063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCY3"
"RETN","Resistin","Protein Coding","Q9HD89","54","GC19P007669","25.6971073150635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RETN"
"PYY","Peptide YY","Protein Coding","P10082","55","GC17M043952","24.9713134765625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYY"
"AGRP","Agouti Related Neuropeptide","Protein Coding","O00253","53","GC16M067482","24.5785675048828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGRP"
"SH2B1","SH2B Adaptor Protein 1","Protein Coding","Q9NRF2","54","GC16P104819","23.9948291778564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH2B1"
"CEP19","Centrosomal Protein 19","Protein Coding","Q96LK0","45","GC03M196706","23.5602264404297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP19"
"ADRB2","Adrenoceptor Beta 2","Protein Coding","P07550","61","GC05P155594","23.3028984069824","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB2"
"IL6","Interleukin 6","Protein Coding","P05231","63","GC07P022725","23.220287322998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"GNAS","GNAS Complex Locus","Protein Coding","P84996","62","GC20P058839","22.416971206665","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAS"
"DYRK1B","Dual Specificity Tyrosine Phosphorylation Regulated Kinase 1B","Protein Coding","Q9Y463","58","GC19M039825","22.296049118042","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYRK1B"
"LPL","Lipoprotein Lipase","Protein Coding","P06858","63","GC08P019901","21.9084091186523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPL"
"ALMS1","ALMS1 Centrosome And Basal Body Associated Protein","Protein Coding","Q8TCU4","51","GC02P073385","21.4031009674072","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALMS1"
"NR0B2","Nuclear Receptor Subfamily 0 Group B Member 2","Protein Coding","Q15466","54","GC01M032266","21.4025936126709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR0B2"
"HSD11B1","Hydroxysteroid 11-Beta Dehydrogenase 1","Protein Coding","P28845","63","GC01P209686","21.3564262390137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD11B1"
"TNF","Tumor Necrosis Factor","Protein Coding","P01375","65","GC06P156244","21.3355484008789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"VPS13B","Vacuolar Protein Sorting 13 Homolog B","Protein Coding","Q7Z7G8","52","GC08P099128","21.0023784637451","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS13B"
"BBS1","Bardet-Biedl Syndrome 1","Protein Coding","Q8NFJ9","52","GC11P099060","20.9974784851074","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBS1"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","36","GC11M001995","20.9841041564941","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","P05019","61","GC12M102395","20.8547496795654","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"CRP","C-Reactive Protein","Protein Coding","P02741","58","GC01M165279","20.7392311096191","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"INSR","Insulin Receptor","Protein Coding","P06213","66","GC19M007112","20.6742191314697","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSR"
"PRMT7","Protein Arginine Methyltransferase 7","Protein Coding","Q9NVM4","55","GC16P105938","20.5506801605225","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRMT7"
"KIDINS220","Kinase D Interacting Substrate 220","Protein Coding","Q9ULH0","54","GC02M008724","20.383451461792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIDINS220"
"TUB","TUB Bipartite Transcription Factor","Protein Coding","P50607","56","GC11P008019","20.3497714996338","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUB"
"LIPE","Lipase E, Hormone Sensitive Type","Protein Coding","Q05469","60","GC19M042401","19.9730281829834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPE"
"APOB","Apolipoprotein B","Protein Coding","P04114","58","GC02M020956","19.9518489837646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOB"
"APOE","Apolipoprotein E","Protein Coding","P02649","62","GC19P133238","19.9388675689697","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"PDSS1","Decaprenyl Diphosphate Synthase Subunit 1","Protein Coding","Q5T2R2","54","GC10P026697","19.8713264465332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDSS1"
"BBS4","Bardet-Biedl Syndrome 4","Protein Coding","Q96RK4","54","GC15P072686","19.7924556732178","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBS4"
"INPP5E","Inositol Polyphosphate-5-Phosphatase E","Protein Coding","Q9NRR6","53","GC09M136428","19.7677631378174","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INPP5E"
"BBS2","Bardet-Biedl Syndrome 2","Protein Coding","Q9BXC9","53","GC16M056467","19.6977882385254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBS2"
"BBS10","Bardet-Biedl Syndrome 10","Protein Coding","Q8TAM1","52","GC12M076344","19.559103012085","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBS10"
"CARTPT","CART Prepropeptide","Protein Coding","Q16568","54","GC05P071719","19.4335670471191","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARTPT"
"BBS7","Bardet-Biedl Syndrome 7","Protein Coding","Q8IWZ6","50","GC04M121824","19.1543979644775","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBS7"
"TTC8","Tetratricopeptide Repeat Domain 8","Protein Coding","Q8TAM2","52","GC14P093762","19.1477470397949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTC8"
"LOC129933280","ATAC-STARR-Seq Lymphoblastoid Silent Region 11244","Functional Element","","8","GC02P025161","19.0534534454346","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC129933280"
"SERPINE1","Serpin Family E Member 1","Protein Coding","P05121","63","GC07P101127","18.9011726379395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"AOMS1","Abdominal Obesity-Metabolic Syndrome QTL1","Genetic Locus","","5","GC03U990183","18.8527565002441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AOMS1"
"RBP4","Retinol Binding Protein 4","Protein Coding","P02753","57","GC10M093591","18.7562313079834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBP4"
"LEPQTL1","Leptin, Serum Levels Of","Genetic Locus","","11","GC02U903086","18.3756427764893","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPQTL1"
"NPY","Neuropeptide Y","Protein Coding","P01303","57","GC07P024449","18.27467918396","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPY"
"BBS5","Bardet-Biedl Syndrome 5","Protein Coding","Q8N3I7","50","GC02P169492","18.0967559814453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBS5"
"MKKS","MKKS Centrosomal Shuttling Protein","Protein Coding","Q9NPJ1","51","GC20M010508","18.0545177459717","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKKS"
"BBIP1","BBSome Interacting Protein 1","Protein Coding","A8MTZ0","43","GC10M110898","18.0173568725586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBIP1"
"LIPC","Lipase C, Hepatic Type","Protein Coding","P11150","58","GC15P058410","17.9360866546631","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPC"
"MAGEL2","MAGE Family Member L2","Protein Coding","Q9UJ55","49","GC15M023643","17.922248840332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGEL2"
"BBS9","Bardet-Biedl Syndrome 9","Protein Coding","Q3SYG4","52","GC07P034005","17.6945457458496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBS9"
"APOA1","Apolipoprotein A1","Protein Coding","P02647","63","GC11M116835","17.4061279296875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA1"
"LINC01672","Long Intergenic Non-Protein Coding RNA 1672","RNA Gene","","19","GC01P060062","17.2569065093994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01672"
"PNLIP","Pancreatic Lipase","Protein Coding","P16233","59","GC10P116545","17.208251953125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNLIP"
"GCG","Glucagon","Protein Coding","P01275","54","GC02M162142","17.1740341186523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCG"
"PPARGC1A","PPARG Coactivator 1 Alpha","Protein Coding","Q9UBK2","59","GC04M023755","17.1110076904297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARGC1A"
"IRS1","Insulin Receptor Substrate 1","Protein Coding","P35568","61","GC02M226731","16.9225616455078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRS1"
"PLIN1","Perilipin 1","Protein Coding","O60240","59","GC15M089664","16.8273906707764","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLIN1"
"CNR1","Cannabinoid Receptor 1","Protein Coding","P21554","59","GC06M088139","16.8132762908936","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNR1"
"AOMS2","Abdominal Obesity-Metabolic Syndrome QTL2","Genetic Locus","","3","GC17U990216","16.7474308013916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AOMS2"
"BBS12","Bardet-Biedl Syndrome 12","Protein Coding","Q6ZW61","46","GC04P122702","16.5942268371582","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBS12"
"HNF1A","HNF1 Homeobox A","Protein Coding","P20823","59","GC12P120978","16.5340118408203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1A"
"NUDC","Nuclear Distribution C, Dynein Complex Regulator","Protein Coding","Q9Y266","54","GC01P061276","16.5205574035645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUDC"
"SMAD5-AS1","SMAD5 Antisense RNA 1","RNA Gene","Q9Y6J3","30","GC05M136129","16.4895610809326","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD5-AS1"
"CDKAL1","CDK5 Regulatory Subunit Associated Protein 1 Like 1","Protein Coding","Q5VV42","52","GC06P020534","16.2740478515625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKAL1"
"IRAK1BP1","Interleukin 1 Receptor Associated Kinase 1 Binding Protein 1","Protein Coding","Q5VVH5","40","GC06P078867","16.125509262085","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRAK1BP1"
"OBHP","Obesity And Hypopigmentation","Genetic Locus","","2","GC20U903709","16.1227016448975","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OBHP"
"ARL6","ADP Ribosylation Factor Like GTPase 6","Protein Coding","Q9H0F7","52","GC03P097764","16.0334701538086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL6"
"KCNJ11","Potassium Inwardly Rectifying Channel Subfamily J Member 11","Protein Coding","Q14654","58","GC11M018031","15.9872875213623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ11"
"MEG3","Maternally Expressed 3","RNA Gene","","36","GC14P119042","15.7925748825073","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG3"
"CYP19A1","Cytochrome P450 Family 19 Subfamily A Member 1","Protein Coding","P11511","61","GC15M051208","15.7812576293945","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP19A1"
"LOC108167315","POMC Promoter Region","Functional Element","","6","GC02P025428","15.775053024292","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC108167315"
"GCK","Glucokinase","Protein Coding","P35557","62","GC07M045514","15.6113510131836","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCK"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","P12821","64","GC17P063477","15.5902338027954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"NAMPT","Nicotinamide Phosphoribosyltransferase","Protein Coding","P43490","60","GC07M106248","15.5831098556519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAMPT"
"SDCCAG8","SHH Signaling And Ciliogenesis Regulator SDCCAG8","Protein Coding","Q86SQ7","53","GC01P243255","15.5572023391724","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDCCAG8"
"MT-CYB","Mitochondrially Encoded Cytochrome B","Protein Coding","P00156","44","GCMTP014749","15.5349864959717","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CYB"
"MTTP","Microsomal Triglyceride Transfer Protein","Protein Coding","P55157","57","GC04P099563","15.4918117523193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTTP"
"HNF4A","Hepatocyte Nuclear Factor 4 Alpha","Protein Coding","P41235","62","GC20P044355","15.3938341140747","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF4A"
"NR3C1","Nuclear Receptor Subfamily 3 Group C Member 1","Protein Coding","P04150","62","GC05M143277","15.3652391433716","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C1"
"CFAP418","Cilia And Flagella Associated Protein 418","Protein Coding","Q96NL8","43","GC08M095245","15.3642873764038","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFAP418"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","P42898","61","GC01M011785","15.2325916290283","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"LEPROT","Leptin Receptor Overlapping Transcript","Protein Coding","O15243","43","GC01P065420","15.2018375396729","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPROT"
"AQP7","Aquaporin 7","Protein Coding","O14520","54","GC09M033384","15.1811084747314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AQP7"
"SHBG","Sex Hormone Binding Globulin","Protein Coding","P04278","54","GC17P007613","15.1418752670288","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHBG"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","P42336","65","GC03P179148","15.0732765197754","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"PNPLA2","Patatin Like Phospholipase Domain Containing 2","Protein Coding","Q96AD5","57","GC11P014058","15.0495691299438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNPLA2"
"LZTFL1","Leucine Zipper Transcription Factor Like 1","Protein Coding","Q9NQ48","51","GC03M045823","15.0085573196411","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LZTFL1"
"RAI1","Retinoic Acid Induced 1","Protein Coding","Q7Z5J4","51","GC17P132989","14.9562568664551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAI1"
"CEP290","Centrosomal Protein 290","Protein Coding","O15078","52","GC12M088049","14.938817024231","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP290"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","65","GC10P116113","14.9199934005737","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"COMT","Catechol-O-Methyltransferase","Protein Coding","P21964","63","GC22P019941","14.8654403686523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMT"
"KSR2","Kinase Suppressor Of Ras 2","Protein Coding","Q6VAB6","47","GC12M117453","14.8462581634521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KSR2"
"CCK","Cholecystokinin","Protein Coding","P06307","54","GC03M042274","14.7945613861084","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCK"
"ABCC8","ATP Binding Cassette Subfamily C Member 8","Protein Coding","Q09428","58","GC11M017392","14.7865533828735","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC8"
"GNB3","G Protein Subunit Beta 3","Protein Coding","P16520","59","GC12P006839","14.7793827056885","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNB3"
"APOA5","Apolipoprotein A5","Protein Coding","Q6Q788","55","GC11M116789","14.773060798645","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA5"
"SLC6A14","Solute Carrier Family 6 Member 14","Protein Coding","Q9UN76","51","GC0XP116436","14.5818500518799","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A14"
"GHRLOS","Ghrelin Opposite Strand/Antisense RNA","RNA Gene","","23","GC03P024221","14.3948030471802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHRLOS"
"BMIQ7","Obesity, Susceptibility To, On Chromosome 4","Genetic Locus","","2","GC04U901803","14.3820381164551","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMIQ7"
"AKT2","AKT Serine/Threonine Kinase 2","Protein Coding","P31751","66","GC19M040230","14.372410774231","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT2"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","P13500","61","GC17P034255","14.3460960388184","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"MKS1","MKS Transition Zone Complex Subunit 1","Protein Coding","Q9NXB0","52","GC17M058205","14.3271102905273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKS1"
"LMNA","Lamin A/C","Protein Coding","P02545","62","GC01P156082","14.2831592559814","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNA"
"PHF6","PHD Finger Protein 6","Protein Coding","Q8IWS0","52","GC0XP134373","14.2712936401367","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHF6"
"MFN2","Mitofusin 2","Protein Coding","O95140","61","GC01P011980","14.2581033706665","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MFN2"
"SLC17A5","Solute Carrier Family 17 Member 5","Protein Coding","Q9NRA2","57","GC06M073593","14.1500692367554","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC17A5"
"DNM1L","Dynamin 1 Like","Protein Coding","O00429","61","GC12P032679","13.9390983581543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNM1L"
"DNMT3A","DNA Methyltransferase 3 Alpha","Protein Coding","Q9Y6K1","64","GC02M025228","13.9242687225342","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT3A"
"CENPO","Centromere Protein O","Protein Coding","Q9BU64","43","GC02P024793","13.9069290161133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CENPO"
"PPARA","Peroxisome Proliferator Activated Receptor Alpha","Protein Coding","Q07869","56","GC22P046150","13.8824005126953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARA"
"GH1","Growth Hormone 1","Protein Coding","P01241","55","GC17M063917","13.8599643707275","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GH1"
"SDC3","Syndecan 3","Protein Coding","O75056","54","GC01M030869","13.7305335998535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDC3"
"DGAT1","Diacylglycerol O-Acyltransferase 1","Protein Coding","O75907","59","GC08M146995","13.6405868530273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGAT1"
"SLC2A4","Solute Carrier Family 2 Member 4","Protein Coding","P14672","59","GC17P132635","13.6041135787964","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A4"
"WDPCP","WD Repeat Containing Planar Cell Polarity Effector","Protein Coding","O95876","50","GC02M063121","13.601092338562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDPCP"
"IFT27","Intraflagellar Transport 27","Protein Coding","Q9BW83","50","GC22M081555","13.5666379928589","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFT27"
"GHR","Growth Hormone Receptor","Protein Coding","P10912","58","GC05P042429","13.5204200744629","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHR"
"MT-TP","Mitochondrially Encoded TRNA-Pro (CCN)","RNA Gene","","20","GCMTM015957","13.4083852767944","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TP"
"SCAPER","S-Phase Cyclin A Associated Protein In The ER","Protein Coding","Q9BY12","47","GC15M076347","13.3985147476196","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCAPER"
"RARRES2","Retinoic Acid Receptor Responder 2","Protein Coding","Q99969","51","GC07M150333","13.3964557647705","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARRES2"
"ADIPOR1","Adiponectin Receptor 1","Protein Coding","Q96A54","55","GC01M202940","13.3686237335205","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOR1"
"GLDC","Glycine Decarboxylase","Protein Coding","P23378","59","GC09M006522","13.3277587890625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLDC"
"TCF7L2","Transcription Factor 7 Like 2","Protein Coding","Q9NQB0","58","GC10P112950","13.3259544372559","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF7L2"
"IL1B","Interleukin 1 Beta","Protein Coding","P01584","60","GC02M112829","13.3250274658203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"G6PC1","Glucose-6-Phosphatase Catalytic Subunit 1","Protein Coding","P35575","56","GC17P135176","13.2885789871216","https://www.genecards.org/cgi-bin/carddisp.pl?gene=G6PC1"
"ABCA1","ATP Binding Cassette Subfamily A Member 1","Protein Coding","O95477","61","GC09M104781","13.2779664993286","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA1"
"FFAR4","Free Fatty Acid Receptor 4","Protein Coding","Q5NUL3","50","GC10P093566","13.2690114974976","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FFAR4"
"REN","Renin","Protein Coding","P00797","61","GC01M204154","13.1281681060791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REN"
"PLA2G7","Phospholipase A2 Group VII","Protein Coding","Q13093","63","GC06M046704","13.1062850952148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G7"
"PTPN1","Protein Tyrosine Phosphatase Non-Receptor Type 1","Protein Coding","P18031","62","GC20P050510","12.9856853485107","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN1"
"PPARGC1B","PPARG Coactivator 1 Beta","Protein Coding","Q86YN6","48","GC05P149730","12.9582633972168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARGC1B"
"POLG","DNA Polymerase Gamma, Catalytic Subunit","Protein Coding","P54098","60","GC15M156028","12.926854133606","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLG"
"MIR122","MicroRNA 122","RNA Gene","","30","GC18P058451","12.8650379180908","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR122"
"LDLR","Low Density Lipoprotein Receptor","Protein Coding","P01130","64","GC19P132305","12.8573942184448","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLR"
"MYT1L","Myelin Transcription Factor 1 Like","Protein Coding","Q9UL68","55","GC02M001789","12.7983436584473","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYT1L"
"SLC6A3","Solute Carrier Family 6 Member 3","Protein Coding","Q01959","63","GC05M001392","12.7921867370605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A3"
"BRCA2","BRCA2 DNA Repair Associated","Protein Coding","P51587","60","GC13P032315","12.754132270813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2"
"TRIM32","Tripartite Motif Containing 32","Protein Coding","Q13049","55","GC09P116687","12.7309646606445","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM32"
"INPPL1","Inositol Polyphosphate Phosphatase Like 1","Protein Coding","O15357","60","GC11P072223","12.6683168411255","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INPPL1"
